Position,Object,Model,,Selected_object,Confidence_rating
On_its_side,Umbrella,NAS,third_object,tripod,0
On_its_side,Umbrella,vgg,third_object,quill,9
On_its_side,Wine_bottle,incep,first_object,wine_bottle,84
On_its_side,Wine_bottle,NAS,first_object,wine_bottle,84
On_its_side,Wine_bottle,vgg,first_object,beer_bottle,43
On_its_side,Wine_bottle,incep,second_object,beer_bottle,10
On_its_side,Wine_bottle,NAS,second_object,beer_bottle,3
On_its_side,Wine_bottle,vgg,second_object,wine_bottle,39
On_its_side,Wine_bottle,incep,third_object,red_wine,1
On_its_side,Wine_bottle,NAS,third_object,red_wine,2
On_its_side,Wine_bottle,vgg,third_object,pop_bottle,12
Overhead,Coffee_mug,incep,first_object,washbin,11
Overhead,Coffee_mug,NAS,first_object,soup_bowl,47
Overhead,Coffee_mug,vgg,first_object,bottlecap,16
Overhead,Coffee_mug,incep,second_object,soap_dispenser,8
Overhead,Coffee_mug,NAS,second_object,cup,27
Overhead,Coffee_mug,vgg,second_object,water_bottle,13
Overhead,Coffee_mug,incep,third_object,strainer,8
Overhead,Coffee_mug,NAS,third_object,coffee_mug,8
Overhead,Coffee_mug,vgg,third_object,bubble,13
Overhead,Hammer,incep,first_object,perfume,45
Overhead,Hammer,NAS,first_object,hammer,84
Overhead,Hammer,vgg,first_object,nail,38
Overhead,Hammer,incep,second_object,screw,10
Overhead,Hammer,NAS,second_object,nail,5
Overhead,Hammer,vgg,second_object,screw,14
Overhead,Hammer,incep,third_object,hammer,7
Overhead,Hammer,NAS,third_object,screwdriver,0
Overhead,Hammer,vgg,third_object,hammer,9
Overhead,Notebook,incep,first_object,scale,18
Overhead,Notebook,NAS,first_object,notebook,84
Overhead,Notebook,vgg,first_object,space_heater,12
Overhead,Notebook,incep,second_object,notebook,6
Overhead,Notebook,NAS,second_object,computer_keyboard,5
Overhead,Notebook,vgg,second_object,brass,8
Overhead,Notebook,incep,third_object,library,6
Overhead,Notebook,NAS,third_object,laptop,4
Overhead,Notebook,vgg,third_object,manhole_cover,7
Overhead,Pot,incep,first_object,spotlight,93
Overhead,Pot,NAS,first_object,spotlight,71
Overhead,Pot,vgg,first_object,spotlight,28
Overhead,Pot,incep,second_object,strainer,2
Overhead,Pot,NAS,second_object,tray,12
Overhead,Pot,vgg,second_object,magnetic_compass,5
Overhead,Pot,incep,third_object,ladle,1
Overhead,Pot,NAS,third_object,torch,4
Overhead,Pot,vgg,third_object,binoculars,4
Overhead,Soap_dispenser,incep,first_object,ping_pong_ball,83
Overhead,Soap_dispenser,NAS,first_object,spotlight,78
Overhead,Soap_dispenser,vgg,first_object,hook,30
Overhead,Soap_dispenser,incep,second_object,spotlight,3
Overhead,Soap_dispenser,NAS,second_object,dumbbell,6
Overhead,Soap_dispenser,vgg,second_object,safety_pin,17
Overhead,Soap_dispenser,incep,third_object,hair_slide,2
Overhead,Soap_dispenser,NAS,third_object,table_lamp,4
Overhead,Soap_dispenser,vgg,third_object,screw,4
Overhead,Sunglasses,incep,first_object,ladle,9
Overhead,Sunglasses,NAS,first_object,yawl,49
Overhead,Sunglasses,vgg,first_object,walking_stick,48
Overhead,Sunglasses,incep,second_object,strainer,6
Overhead,Sunglasses,NAS,second_object,schooner,5
Overhead,Sunglasses,vgg,second_object,mantis,3
Overhead,Sunglasses,incep,third_object,nail,3
Overhead,Sunglasses,NAS,third_object,bow,4
Overhead,Sunglasses,vgg,third_object,harvestman,3
Overhead,Umbrella,incep,first_object,umbrella,100
Overhead,Umbrella,NAS,first_object,umbrella,83
Overhead,Umbrella,vgg,first_object,umbrella,99
Overhead,Umbrella,incep,second_object,mountain_tent,0
Overhead,Umbrella,NAS,second_object,kimono,0
Overhead,Umbrella,vgg,second_object,mortarboard,0
Overhead,Umbrella,incep,third_object,doormat,0
Overhead,Umbrella,NAS,third_object,tripod,0
Overhead,Umbrella,vgg,third_object,wall_clock,0
Overhead,Wine_bottle,incep,first_object,bottlecap,14
Overhead,Wine_bottle,NAS,first_object,puck,66
Overhead,Wine_bottle,vgg,first_object,screw,47
Overhead,Wine_bottle,incep,second_object,switch,6
Overhead,Wine_bottle,NAS,second_object,thimble,10
Overhead,Wine_bottle,vgg,second_object,ballpoint,4
Overhead,Wine_bottle,incep,third_object,plunger,4
Overhead,Wine_bottle,NAS,third_object,washbasin,4
Overhead,Wine_bottle,vgg,third_object,puck,2
Rotated_from_side,Coffee_mug,incep,first_object,coffee_mug,85
Rotated_from_side,Coffee_mug,NAS,first_object,coffee_mug,83
Rotated_from_side,Coffee_mug,vgg,first_object,coffee_mug,66
Rotated_from_side,Coffee_mug,incep,second_object,cup,12
Rotated_from_side,Coffee_mug,NAS,second_object,cup,2
Rotated_from_side,Coffee_mug,vgg,second_object,cup,22
Rotated_from_side,Coffee_mug,incep,third_object,pitcher,1
Rotated_from_side,Coffee_mug,NAS,third_object,espresso,0
Rotated_from_side,Coffee_mug,vgg,third_object,espresso,1
Rotated_from_side,Hammer,incep,first_object,hammer,100
Rotated_from_side,Hammer,NAS,first_object,hammer,94
Rotated_from_side,Hammer,vgg,first_object,hammer,31
Rotated_from_side,Hammer,incep,second_object,hatchet,0
Rotated_from_side,Hammer,NAS,second_object,piggy_bank,0
Rotated_from_side,Hammer,vgg,second_object,hatchet,30
Rotated_from_side,Hammer,incep,third_object,nail,0
Rotated_from_side,Hammer,NAS,third_object,screwdriver,0
Rotated_from_side,Hammer,vgg,third_object,scabbard,21
Rotated_from_side,Notebook,incep,first_object,notebook,93
Rotated_from_side,Notebook,NAS,first_object,notebook,60
Rotated_from_side,Notebook,vgg,first_object,loudspeaker,7
Rotated_from_side,Notebook,incep,second_object,laptop,4
Rotated_from_side,Notebook,NAS,second_object,laptop,26
Rotated_from_side,Notebook,vgg,second_object,table_lamp,4
Rotated_from_side,Notebook,incep,third_object,mouse,0
Rotated_from_side,Notebook,NAS,third_object,desk,1
Rotated_from_side,Notebook,vgg,third_object,switch,4
Rotated_from_side,Pot,incep,first_object,coffee_mug,10
Rotated_from_side,Pot,NAS,first_object,caldron,41
Rotated_from_side,Pot,vgg,first_object,bucket,48
Rotated_from_side,Pot,incep,second_object,caldron,6
Rotated_from_side,Pot,NAS,second_object,Crock_Pot,11
Rotated_from_side,Pot,vgg,second_object,ashcan,8
Rotated_from_side,Pot,incep,third_object,Crock_Pot,5
Rotated_from_side,Pot,NAS,third_object,bucket,6
Rotated_from_side,Pot,vgg,third_object,soap_dispenser,6
Rotated_from_side,Soap_dispenser,incep,first_object,lotion,57
Rotated_from_side,Soap_dispenser,NAS,first_object,lotion,46
Rotated_from_side,Soap_dispenser,vgg,first_object,soap_dispenser,90
Rotated_from_side,Soap_dispenser,incep,second_object,soap_dispenser,39
Rotated_from_side,Soap_dispenser,NAS,second_object,soap_dispenser,34
Rotated_from_side,Soap_dispenser,vgg,second_object,syringe,3
Rotated_from_side,Soap_dispenser,incep,third_object,hair_spray,1
Rotated_from_side,Soap_dispenser,NAS,third_object,sunscreen,1
Rotated_from_side,Soap_dispenser,vgg,third_object,lotion,2
Rotated_from_side,Sunglasses,incep,first_object,sunglasses,55
Rotated_from_side,Sunglasses,NAS,first_object,sunglasses,83
Rotated_from_side,Sunglasses,vgg,first_object,nail,79
Rotated_from_side,Sunglasses,incep,second_object,sunglass,21
Rotated_from_side,Sunglasses,NAS,second_object,sunglass,10
Rotated_from_side,Sunglasses,vgg,second_object,screw,13
Rotated_from_side,Sunglasses,incep,third_object,pick,14
Rotated_from_side,Sunglasses,NAS,third_object,lens_cap,1
Rotated_from_side,Sunglasses,vgg,third_object,switch,1
Rotated_from_side,Umbrella,incep,first_object,umbrella,100
Rotated_from_side,Umbrella,NAS,first_object,umbrella,89
Rotated_from_side,Umbrella,vgg,first_object,carton,37
Rotated_from_side,Umbrella,incep,second_object,mountain_tent,0
Rotated_from_side,Umbrella,NAS,second_object,kimono,0
Rotated_from_side,Umbrella,vgg,second_object,umbrella,9
Rotated_from_side,Umbrella,incep,third_object,doormat,0
Rotated_from_side,Umbrella,NAS,third_object,tripod,0
Rotated_from_side,Umbrella,vgg,third_object,printer,7
Rotated_from_side,Wine_bottle,incep,first_object,wine_bottle,58
Rotated_from_side,Wine_bottle,NAS,first_object,wine_bottle,72
Rotated_from_side,Wine_bottle,vgg,first_object,beer_bottle,52
Rotated_from_side,Wine_bottle,incep,second_object,beer_bottle,11
Rotated_from_side,Wine_bottle,NAS,second_object,beer_bottle,10
Rotated_from_side,Wine_bottle,vgg,second_object,wine_bottle,42
Rotated_from_side,Wine_bottle,incep,third_object,red_wine,4
Rotated_from_side,Wine_bottle,NAS,third_object,red_wine,7
Rotated_from_side,Wine_bottle,vgg,third_object,red_wine,3
Rotated_upside_down,Coffee_mug,incep,first_object,coffee_mug,80
Rotated_upside_down,Coffee_mug,NAS,first_object,coffee_mug,84
Rotated_upside_down,Coffee_mug,vgg,first_object,coffee_mug,66
Rotated_upside_down,Coffee_mug,incep,second_object,cup,9
Rotated_upside_down,Coffee_mug,NAS,second_object,cup,2
Rotated_upside_down,Coffee_mug,vgg,second_object,cup,32
Rotated_upside_down,Coffee_mug,incep,third_object,pitcher,0
Rotated_upside_down,Coffee_mug,NAS,third_object,espresso,0
Rotated_upside_down,Coffee_mug,vgg,third_object,teapot,0
Rotated_upside_down,Hammer,incep,first_object,hammer,100
Rotated_upside_down,Hammer,NAS,first_object,hammer,96
Rotated_upside_down,Hammer,vgg,first_object,hammer,80
Rotated_upside_down,Hammer,incep,second_object,hatchet,0
Rotated_upside_down,Hammer,NAS,second_object,piggy_bank,0
Rotated_upside_down,Hammer,vgg,second_object,hatchet,5
Rotated_upside_down,Hammer,incep,third_object,can_opener,0
